Time, Batches, IOPS, MiB/s
159.728683, 265, 6877.109560, 753.228200
160.922226, 267, 6863.693680, 764.577690
162.111587, 269, 6887.823844, 757.244530
163.305204, 271, 6863.258886, 765.119153
164.493981, 273, 6891.208954, 762.538322
165.673093, 275, 6947.691510, 749.179120
166.859002, 277, 6907.870970, 760.380633
168.041189, 279, 6929.616872, 751.718429
169.228855, 281, 6897.656450, 757.489074
170.425254, 283, 6847.294323, 763.902534
171.613011, 285, 6897.117068, 751.362052
172.794898, 287, 6931.379549, 751.361506
173.991072, 289, 6848.589332, 762.255334
175.171975, 291, 6937.154712, 745.174721
176.375648, 293, 6805.918071, 743.875148
177.557406, 295, 6932.134583, 752.109823
178.737711, 297, 6940.660256, 744.554842
179.923934, 299, 6906.028799, 752.339881
180.517983, 300, 6895.228092, 756.713131
